_id,answer_length,day,difficulty,encrypted_answer,encrypted_riddle,id,month,started_at,user_id
693a338efc9f8eb80b06af45,3,11,easy,gAAAAABpOjL_x5C8qkuJkh6lfsIFcdYE9lNQqx3MgMTSkHulZHUII1xhUY63DF3Z4uRWzAtGkx0U_j8NN6JG4-AGOJw21NvXmw==,,656a8ac2ad7fb997aeed48e50c313e84817ed6e648cb5b987c42dae68f035d00,2025-12,2025-12-11T02:59:26.001995+00:00,8278d365-dd80-4d19-9159-3600cd7edfe4
693a343cfc9f8eb80b06af4a,3,11,easy,gAAAAABpOjL_x5C8qkuJkh6lfsIFcdYE9lNQqx3MgMTSkHulZHUII1xhUY63DF3Z4uRWzAtGkx0U_j8NN6JG4-AGOJw21NvXmw==,,9edd91044aa3048bb9be6e6650f306b57972af38af9acd0a5418b0e9050faede,2025-12,2025-12-11T03:02:20.671593+00:00,d2231f92-257d-4604-87f7-4256ab953886
693a34a9fc9f8eb80b06af4b,3,11,easy,gAAAAABpOjL_x5C8qkuJkh6lfsIFcdYE9lNQqx3MgMTSkHulZHUII1xhUY63DF3Z4uRWzAtGkx0U_j8NN6JG4-AGOJw21NvXmw==,,f1240781eabcb278b4aff1c56a539b55cdb9c69ca2b0def56fd1068033e57922,2025-12,2025-12-11T03:04:09.612752+00:00,d2231f92-257d-4604-87f7-4256ab953886
693a34c3fc9f8eb80b06af4e,3,11,easy,gAAAAABpOjL_x5C8qkuJkh6lfsIFcdYE9lNQqx3MgMTSkHulZHUII1xhUY63DF3Z4uRWzAtGkx0U_j8NN6JG4-AGOJw21NvXmw==,,916d855ad49e639ff219fd795e38451dcd5484f44d28a5554d82e67a9dccd62f,2025-12,2025-12-11T03:04:35.359046+00:00,bbbe19d7-25b2-4cfa-a49b-414237b30555
693a44f735d1d49988dce6ff,8,11,easy,gAAAAABpOkT3uBc4LHQ-TvDco63uuy3UNPM7r7JtVpE_bjix0MrzNDgKt_YeDNOXW1maLfwfgPPr7dAmUW3MaSRYn2v1xgsbjQ==,gAAAAABpOkT33mW-4i2lAYxiOSO6kmNCxE0Yk6b5Gji1FFZ9lzOw3CXByI8G0q_3KRa280RN6gfjAxoptWDRcsavP33ikadNGrF7ngzDy7ifgW9RqwjgX132e8bt9AWWuOMYmJhlB6vRqIlX2EWH23-DczoIvsqhz-g1_tMW-PfBpyQlc78RBuvwdcsWleFyGjUfxSVCokuH,764eeb98dc67121b2882fc45fc5b6f99596561242f60cb71fb4a67f53841f991,2025-12,2025-12-11T04:13:43.849632+00:00,c3faa559-b634-42f3-8220-c1bdc7311029
693a451235d1d49988dce700,7,11,medium,gAAAAABpOkUSVpNsAizCuzk5BOamvcrCenYEW_XpDqgo4nYKtRNi9aym91q-2T_pcvranCrnMpIr5g7__FannOpsYIQPlYSfGA==,gAAAAABpOkUSw3cNw6u_6BkTkLtiX8SYBFW3FQX_o8SPVx_VHY7aWwNZSs8wPwsEtw3MZnQdXy5iE6mULwTjnz5Du2sd7XiZjx6LOgT99axbKp8xGniSAXIw4fDaj9nVE6UecSFZxv9jyEr0IVzDORK-ALEwIkw4jz4m760hYm9q76_8M_u-TuwRIyI-WE4NA96NetMRC219dhzm-4t-tJaNnIMq3Rw-a3qWyNyzAnlZI1X1XnDZ3kx0hNA8bH5w4DgzAiZKJkov-a92Io8Dhu3g79z3lsWbcFb9ZdmyaYJUz9QuYC2OfwrUTv-Fr0S-8sfGpZAVIvBu,c2236800dca657ce854368f5cc00c4f5b229a2925e68376007f1ec83a415744c,2025-12,2025-12-11T04:14:10.024936+00:00,c3faa559-b634-42f3-8220-c1bdc7311029
693a453735d1d49988dce701,6,11,easy,gAAAAABpOkU3hOVihTQsVxS3q7IzNmhr9Zt1OYyGqlNhhQAXZCmfCOpNCKDQJZ29xjhV31jdT99L-IqIaJ6OjL-PELV1Op09Zg==,gAAAAABpOkU3SEwyBDAmijcTq6WwjtQEQyqWP1G_3UFJ4cn-mXnP6XQN-03fXClgcY-kQYYwg8WOWSp_9vV6QVLbtu84NiuA7EVUqij2fKuH6GJMaTEpkoYfpcsB9NhdnIenu8_aLQelht3fg-ooI-3n5xPx9nDiEq3XvLfyJ_TVtAykpvo7yYK90FvUrETU0gzcByWguLS-Hh-1p8qWrK2IFcZDX-Mtq8RNbMdbzlVtUwyV8ayAU2c=,b8acfeba65dc198e4fe7804a6cd2d3072bc2d606155862daf8d83daaae6b0a70,2025-12,2025-12-11T04:14:47.109397+00:00,8daa7763-456d-46a8-bfc5-5884b9b54435
693a460135d1d49988dce704,5,11,easy,gAAAAABpOkYBnsAVbrlk-YAAECY4mg0Qx2BOk6_TGSELGimTOVwPQ6kW8eTteSub1CWYcVjMp_YU2WL7Kt7zNg3UqQPRry4TaQ==,gAAAAABpOkYBLI6HAnOBdPzeEh6qoJb2N281mSXNZGJxMCKwv0H7eCQ8qb6Ua-JZIhKtNcOxs6HxVCaw3PZagIU3333HZXfibFxw5wdXpPU9oAAWgUcCWamNch9CJSDsOe0JRHqC-jXpPVsr3nWC9XTD6LihvBoTzFCd5VG0IM6gwHcN0U01ii-QXYS96fIgAGWanLyZwbYWdvKwFwxryBvVKt01TzYO-UNwVnMmS8GB_bmNeTWQQ_I=,83cfa95709bdf3136ffb0aad57b64e210a745b12b29cfc658e05fca8a25fbc2d,2025-12,2025-12-11T04:18:09.787577+00:00,8daa7763-456d-46a8-bfc5-5884b9b54435
693a465635d1d49988dce705,5,11,medium,gAAAAABpOkZWl4Bn3YojIyc0f7auH_cSi6KE2-Wzw1Z5-HAEJikNC-r58TiibyrsUGcYtzH8mA1Nz3c7KKbUQr-ZjBl2E67UoA==,gAAAAABpOkZW6qOxWlBvNzLxZAbFACN2IFMTL8WXjRYRy4Epgg56hN8ed7AudTtyEAvIVXV9xcxNGjezNmf4CIoYRG2oGFlE6fB94u5gotcRCXwvmh15H0g6B59RfaR6O4PmWKqG_eOBkvHM_Je8ND7Eo-cXANFqvmzLPzpFbd1USeuci_Mbh8KTt8sKqPbRUHb-kLo1LAtUe-9NLkV9pfwmQKdDZupKiP2y4YWdd1s7NaMRsywak5h_e7Gh4WLTP9djC7CxU4uX3CLrmKcIFLvjfXx3rQvDab4QNumdctode8x3YMMXb0V37GxGiJ-jILej11nFdHum,04ff40ca40519d3a48049c62af84bd01368d775a19d9cdf767d10bd87090b30a,2025-12,2025-12-11T04:19:34.092814+00:00,8daa7763-456d-46a8-bfc5-5884b9b54435
693a4b30dc0add4906d8c0d0,6,11,hard,gAAAAABpOksw6O67q6u9ZJJ-j0qN5kKh9WgsvN2LJ7MsVn67ACSQNLTbhVPNv_YZNqV6pYhVsxTNcc59ABHwMqEDobHK9mOutw==,gAAAAABpOkswfIFqDM743zvmUl0Ef5oH5CzaO4Wyn-VE2f6S4XoiKt3U-yWr5bW7Wx_YqYDZrMzMHkUQJPXQLRdLTXGQj24VftK5FicSfmA9vt3DEMk9NoKm9wDL7oZwec_QlD535PweYM2qOhRFxImUJKYHElqQq4xxYNK84LcZGWTH39xlrwAdXKzt8mjmu563JntN1cMN0KEv7WlD4t6cugs9GaH45qABQ-6lH2jmLEZ16lsaixWOOtJ6oqHs4AplKuKvLIGP,73907c9d10a7054477683c0c05abda4ef41a14055aba1643422d4450a4433793,2025-12,2025-12-11T04:40:16.574695+00:00,8daa7763-456d-46a8-bfc5-5884b9b54435
693a4cbc618338eeba46ef30,5,11,easy,gAAAAABpOky8H1IfpB0UW_dTRQc1aYEYpDIr1LTuWs-5jqiJ3WPPQCmhaOi6cwjGZBeBP5lZInphI5E_Gdgvd3nqApEE9rD8pA==,gAAAAABpOky8nFbXZKEiYhlLzrq72YhTmvZ7ikNftItTg-usu7jWY9p5lprB47MgpTuH8KHrnLbPTd4mJ1xjacjwBSSZHNFdoyX7ALafZWBJCXu--TFCvYTliSPaKkDYbti4ec-r51PeRwsbEQBJ2JbE0f8Tr_m8MQC-e2G1PafBZouL1zMFNQbpsVbJ5tdG7mNY7DTDm1P0oDcFAs9UFi5522mvB4Wfg24duEMmdO5UZcly_7n4DEbZld79nO518_HM9ykR04h-3RDpZfnbR70T002gDewYJQ==,fdfb2466b5b49bb33e3179727ef5b4e5f76d0d960e68495da4d73b600d21faf5,2025-12,2025-12-11T04:46:52.531966+00:00,a3b8810f-6faf-4307-8438-ab8a7b1eacf5
693a4d11618338eeba46ef31,8,11,medium,gAAAAABpOk0RSJEM54kvChNtgH5yJ4i-PTxiOvjQKhLmAWwtINxKk3Yv_Qvr5CZ1ahcbvzPx5ZE9pHxoNpxHIe9OPkq0NRCAxQ==,gAAAAABpOk0R3z4m3ZJ9Scm85cyKu9UtTEffuDaY9h2M2umSCUGWq1X1Z5ZHQr6rpoLRotCKCg1NBZ-n68_7jSjQk9wGinid-lFmXSZ_3ooVaz-BpBgkXZh9eYwN_x3Xco5o0PFhftxIP5SVNBn9IpCYBPHeAmc8Wf0MJc-dDbecJmV5VpkNcJ_sNK1uzzQCierIgodhEZAikj1aRqbxV2w8y0LEd64zZQ==,1ff55ca46f0adbfea49c166bbe8fb7decd9cf54142f0989475a3b669bb3e4e6a,2025-12,2025-12-11T04:48:17.016182+00:00,a3b8810f-6faf-4307-8438-ab8a7b1eacf5
693a4d36618338eeba46ef32,5,11,hard,gAAAAABpOk02WmeQAIBQ1pYyaOprynW_QJ1Mwkss09E8KGi8M-RexleMwNCXWLw3kz_Lsbzgw1vMTWa0qWDa7tAVGz03zdIE5Q==,gAAAAABpOk027zBEBo0ot4z-2R9KkaLYvH3jdX0wd0SeQRyBpvt8Knxo2AFpNy16Xn7_CWim09hqacID0EmsFtmpx4IGDycwhKmPgFqdhs5Mth2IlKsYZdb2gpm6JmKMLepDKY2vMTiJk8Bs_HWYC_0gLSGbIlhp3rXEikMP1EUbC2PKv4XrIt3z1i1db7VlYEWXvnspk1q27L8T6dxfCZzUUL45hQrMgFjtCEkVTT6P4BdqF0oBnBuLnXc8QqRIzGFuWJyCduQg_y8XyntFZ3hPEudGpS1xEGHnamv5FCfJ5IsyVFd0sao=,354dbaf19ca3b38ed5604ad671a594c57b7ebed6518f568eb4c5a1200b57365b,2025-12,2025-12-11T04:48:54.630200+00:00,a3b8810f-6faf-4307-8438-ab8a7b1eacf5
